2.125900	Zr	40	L2	17	0.402769
5.961000	Pm	61	L2	17	1.113889
2.558000	Ru	44	L3	9	0.282549
11.443000	Au	79	L2	17	5.151034
28.443501	Sn	50	Kb	4	0.000000
3.842500	Sb	51	L2	17	0.336945
3.132800	Cd	48	L3	9	0.412829
11.235000	Pt	78	L1	24	0.468761
9.989000	Hg	80	L3	9	8.505537
0.581800	Cr	24	L2	17	0.004495
42.995998	Gd	64	Ka	1	0.000000
4.313000	I	53	L1	24	0.066844
14.620000	Am	95	L3	9	14.763632
5.414900	Cr	24	Ka	1	2.825579
1.557000	Al	13	Kb	4	0.003447
7.650100	Co	27	Kb	4	0.381702
4.109600	Xe	54	L3	9	0.750832
0.942400	Ni	28	L1	24	0.000384
1.486500	Al	13	Ka	1	0.053541
9.713000	Au	79	L3	9	7.930856
15.775000	Zr	40	Ka	1	23.244141
18.296000	Pu	94	L2	17	0.000000
17.654499	Zr	40	Kb	4	1.928882
4.418000	Xe	54	L2	17	0.476580
0.589500	V	23	L1	24	0.000076
1.491300	Se	34	L1	24	0.001239
0.866000	Ni	28	L2	17	0.020863
20.596401	Tc	43	Kb	4	0.000000
5.035200	Pr	59	L3	9	1.359421
1.253790	Mg	12	Ka	1	0.033040
9.023000	Hf	72	L2	17	3.183347
6.071000	Pm	61	L1	24	0.156149
16.727400	Y	39	Kb	4	1.769598
13.614000	U	92	L3	9	12.520581
1.526000	Br	35	L2	17	0.164193
10.354000	Os	76	L2	17	4.261497
1.293800	Ge	32	L1	24	0.000786
8.402000	Yb	70	L2	17	2.674387
43.712601	Pm	61	Kb	4	0.000000
14.067000	At	85	L1	24	0.612260
8.146000	Ta	73	L3	9	4.765519
14.951300	Rb	37	Kb	4	1.440512
0.647900	Mn	25	L2	17	0.007240
8.102000	Tm	69	L2	17	2.464252
1.281900	As	33	L3	9	0.208063
3.662800	Sn	50	L2	17	0.300912
6.491800	Mn	25	Kb	4	0.252628
13.291000	Pa	91	L3	9	12.116613
14.282000	Pu	94	L3	9	14.102625
3.150000	Ag	47	L2	17	0.196562
40.653999	Pr	59	Kb	4	0.000000
6.498000	Dy	66	L3	9	2.670920
4.647000	La	57	L3	9	1.069748
7.416000	Yb	70	L3	9	3.934505
1.124500	Ga	31	L2	17	0.069944
4.463700	Sc	21	Kb	4	0.087723
29.678301	Sb	51	Kb	4	0.000000
11.720799	As	33	Kb	4	0.928744
34.914001	Cs	55	Kb	4	0.000000
4.952900	V	23	Ka	1	2.169638
4.933400	Ti	22	Kb	4	0.118740
37.361000	Nd	60	Ka	1	0.000000
1.635900	Kr	36	L2	17	0.198208
27.236801	In	49	Kb	4	0.000000
6.930900	Co	27	Ka	1	5.156227
7.248000	Dy	66	L2	17	1.821204
14.976000	Fr	87	L1	24	0.616237
9.343000	Ta	73	L2	17	3.436085
1.692000	Rb	37	L3	9	0.463807
7.811000	Er	68	L2	17	2.231593
3.233000	Ag	47	L1	24	0.016917
28.612000	I	53	Ka	1	0.000000
4.839200	Ce	58	L3	9	1.208781
2.168700	Nb	41	L3	9	0.929323
7.526000	Ho	67	L2	17	2.020584
16.702999	Pa	91	L2	17	0.000000
17.480000	Mo	42	Ka	1	26.608126
2.682800	Ru	44	L2	17	0.136313
4.285400	Cs	55	L3	9	0.858369
18.367001	Tc	43	Ka	1	0.000000
6.708100	Gd	64	L2	17	1.482223
3.486600	In	49	L2	17	0.260459
16.615000	Nb	41	Ka	1	25.326378
0.636700	Mn	25	L3	9	0.020843
34.720001	Ce	58	Ka	1	0.000000
5.427800	V	23	Kb	4	0.154634
19.588400	Mo	42	Kb	4	2.244704
0.717900	Fe	26	L2	17	0.010316
3.750400	Sn	50	L1	24	0.046721
17.219999	U	92	L2	17	0.000000
4.093300	Sc	21	Ka	1	1.255089
15.308000	Bk	97	L3	9	16.212486
6.832000	Gd	64	L1	24	0.206846
15.445000	Ra	88	L1	24	0.623917
18.609900	Nb	41	Kb	4	2.119124
10.511000	Os	76	L1	24	0.507923
1.107600	Zn	30	L1	24	0.000549
1.385800	As	33	L1	24	0.001009
24.910200	Ag	47	Kb	4	0.000000
5.849500	Eu	63	L3	9	2.026963
10.263500	Ga	31	Kb	4	0.715149
1.706600	Kr	36	L1	24	0.001890
12.339000	Ra	88	L3	9	13.377104
15.931000	Ac	89	L1	24	0.636301
5.900300	Mn	25	Ka	1	3.477353
3.444100	Sn	50	L3	9	0.469145
4.926000	Ba	56	L1	24	0.092096
19.278999	Ru	44	Ka	1	0.000000
3.692300	Ca	20	Ka	1	0.933166
13.637000	Po	84	L1	24	0.571290
14.315000	Rn	86	L2	17	7.647499
0.510100	V	23	L3	9	0.007265
5.829000	Nd	60	L1	24	0.142549
36.304001	Ba	56	Kb	4	0.000000
12.968000	Th	90	L3	9	12.288376
0.721900	Mn	25	L1	24	0.000150
1.924200	Y	39	L3	9	0.651785
0.653800	Cr	24	L1	24	0.000112
2.074200	Y	39	L1	24	0.003522
5.432000	Pm	61	L3	9	1.688980
3.590100	K	19	Kb	4	0.048272
6.053400	Gd	64	L3	9	2.191282
10.010000	Re	75	L2	17	3.996431
8.846000	Lu	71	L1	24	0.409649
4.512200	Ti	22	Ka	1	1.682284
26.358999	Sb	51	Ka	1	0.000000
11.427000	At	85	L3	9	11.819175
1.034700	Zn	30	L2	17	0.049976
5.491700	Pr	59	L2	17	0.890178
2.472000	Mo	42	L1	24	0.007284
12.652000	Ac	89	L3	9	14.217191
25.271000	Sn	50	Ka	1	0.000000
0.147700	Si	14	L1	24	0.000001
2.837800	Pd	46	L3	9	0.327875
3.937700	I	53	L3	9	0.673905
2.622000	Cl	17	Ka	1	0.331678
0.790200	Co	27	L2	17	0.014707
9.175000	Ir	77	L3	9	6.813272
39.168999	Ce	58	Kb	4	0.000000
1.317400	As	33	L2	17	0.103159
1.837000	Si	14	Kb	4	0.005940
21.633699	Ru	44	Kb	4	0.000000
2.423100	Tc	43	L3	9	0.247444
21.177000	Pd	46	Ka	1	0.000000
4.512400	Xe	54	L1	24	0.073113
4.828300	Ba	56	L2	17	0.609826
1.187800	Ge	32	L3	9	0.171936
4.221200	I	53	L2	17	0.433567
9.488000	Ta	73	L1	24	0.495730
33.442001	La	57	Ka	1	0.000000
3.572700	In	49	L1	24	0.023895
3.313800	K	19	Ka	1	0.704535
7.097000	Tb	65	L1	24	0.227936
1.011700	Zn	30	L3	9	0.108961
10.551000	Pb	82	L3	9	9.680980
18.541000	Pu	94	L1	24	0.000000
2.260000	Nb	41	L2	17	0.479762
2.393900	Mo	42	L2	17	0.555053
33.558899	Xe	54	Kb	4	0.000000
11.224099	Se	34	Ka	1	13.031547
5.946800	Cr	24	Kb	4	0.203330
30.943199	Te	52	Kb	4	0.000000
1.751000	Rb	37	L2	17	0.242031
16.931000	Pa	91	L1	24	0.000000
15.713000	Ac	89	L2	17	9.169396
32.194000	Ba	56	Ka	1	0.000000
11.924000	Br	35	Ka	1	14.748633
3.286100	In	49	L3	9	0.463071
0.260000	Cl	17	L1	24	0.000005
12.390000	Tl	81	L1	24	0.467615
8.637200	Zn	30	Ka	1	8.353455
23.173000	Cd	48	Ka	1	0.000000
1.739800	Si	14	Ka	1	0.091284
5.138000	La	57	L1	24	0.103596
0.360300	K	19	L1	24	0.000016
13.211000	Bi	83	L1	24	0.532220
9.672000	W	74	L2	17	3.707868
6.975100	Tb	65	L2	17	1.646618
1.946000	Sr	38	L1	24	0.002796
8.536000	Yb	70	L1	24	0.368301
10.839000	Bi	83	L3	9	10.313927
7.180000	Tm	69	L3	9	3.517119
12.795000	Pb	82	L1	24	0.498749
11.131000	Po	84	L3	9	11.071593
10.978100	Ge	32	Kb	4	0.815104
2.202200	Zr	40	L1	24	0.004341
3.931600	Sb	51	L1	24	0.052333
0.223900	S	16	L1	24	0.000003
13.876000	At	85	L2	17	7.532296
0.183000	P	15	L1	24	0.000001
26.058401	Cd	48	Kb	4	0.000000
4.118200	Te	52	L1	24	0.057084
20.216000	Rh	45	Ka	1	0.000000
0.927700	Cu	29	L3	9	0.090810
13.023000	Bi	83	L2	17	6.528693
47.547001	Ho	67	Ka	1	0.000000
0.572100	Cr	24	L3	9	0.013338
40.118000	Sm	62	Ka	1	0.000000
38.724998	Pm	61	Ka	1	0.000000
12.213000	Tl	81	L2	17	5.748454
8.710000	Lu	71	L2	17	2.943708
14.771000	Fr	87	L2	17	8.174025
0.528300	Ti	22	L1	24	0.000054
22.698700	Rh	45	Kb	4	0.000000
0.458200	Ti	22	L2	17	0.001376
4.711000	Cs	55	L1	24	0.083158
14.961000	Cm	96	L3	9	15.442223
10.269000	Tl	81	L3	9	9.076033
0.775100	Co	27	L3	9	0.045601
6.949000	Er	68	L3	9	3.218669
30.973000	Cs	55	Ka	1	0.000000
10.708000	Ir	77	L2	17	4.596350
48.550999	Gd	64	Kb	4	0.000000
3.071700	Pd	46	L1	24	0.013628
6.720000	Ho	67	L3	9	2.925225
